"RFM_SEGMENT","CUSTOMER_COUNT","SEGMENT_DISTRIBUTION_PCT","AVG_DAYS_SINCE_LAST_PURCHASE","AVG_TOTAL_PURCHASES","AVG_NET_SPENDING","TOTAL_NET_SPENDING","TOTAL_CUSTOMER_LIFETIME_VALUE","AVG_CUSTOMER_LIFETIME_VALUE"
"Champions",281,7.03,26,17.67,689.21,193667.52,193667.52,689.21
"Loyal Customers",160,4,56,14.88,514.84,82374.7,82374.7,514.84
"Potential Loyal",275,6.88,26,5.72,230.51,63390.62,63390.62,230.51
"New Customers",199,4.98,26,1.85,58.87,11714.93,11714.93,58.87
"At Risk",1537,38.43,335,13.88,520.16,799493.3,799493.3,520.16
"Need Attention",148,3.7,76,3.95,160.14,23701.18,23701.18,160.14
"Hibernating",880,22,351,2.58,85.47,75213.17,75213.17,85.47
"Lost",93,2.33,440,4.14,278.31,25882.47,25882.47,278.31
"Prospect",427,10.68,,0,0,0,0,0
